region;city;kpop;cap?;#reg?;#obs?;2015;2016;2017;2018;2019;2020;2021;2022;incl?
Baden-Württemberg;Karlsruhe;283; ;x; ; ; ; ; ; ; ;490;467;
Bayern;München;1,260;x;x; ; ; ; ;1,145;1,170;1,364;1,983;1,169;x
Berlin;Berlin;3,426;x;x;x; ; ; ;4,290;5,405;5,890;6,207;6,442;x
Brandenburg;Potsdam;182;x;x; ; ; ; ; ;214;238;287;326;x
Bremen;Bremen;546;x; ; ; ; ; ; ;654;631;623;721;
Hamburg;–;–; ; ; ; ; ; ; ; ; ; ; ;
Hessen;Wiesbaden;278;x;x; ; ; ; ; ;159;235;304;256;x
Mecklenburg-Vorpommern;–;–; ; ; ; ; ; ; ; ; ; ; ;
Niedersachsen;–;–; ; ; ; ; ; ; ; ; ; ; ;
Nordrhein-Westfalen;Köln;963; ;x; ; ; ; ;1,037; ; ; ;1,551;
Nordrhein-Westfalen;Wuppertal;360; ;x; ; ; ; ; ; ; ; ;209;
Rheinland-Pfalz;Mainz;217;x;x; ; ; ; ;255;248;305;312;411;x
Saarland;–;–; ; ; ; ; ; ; ; ; ; ; ;
Sachsen;Dresden;556;x;x; ; ; ; ; ; ;164;292;405;x
Sachsen-Anhalt;Magdeburg;235;x;x;x;215;167;135;175;222;312;411;435;x
Schleswig-Holstein;Kiel;246;x;x; ; ; ; ; ; ; ;272;341;
Thüringen;Erfurt;213;x; ; ; ; ; ; ;305;285;331;351;
 ;sum;8,771;10;11;2;215;167;135;6,902;8,377;9,424;11,512;13,084;7
